PM10,PM2.5,NO,NO2,NOX,CO,OZONO,Station,DateTime,Status
52.6,37.0,53.384,3.428,56.817,,,7MA,01-01-2021 01:00,True
77.9,61.0,49.105,3.42,52.525,,,7MA,01-01-2021 02:00,True
58.5,48.0,47.284,4.062,51.346,,,7MA,01-01-2021 03:00,True
57.2,44.0,46.059,3.606,49.664,,,7MA,01-01-2021 04:00,True
53.5,39.0,39.851,1.625,41.475,,,7MA,01-01-2021 05:00,True
22.3,15.0,39.956,0.677,40.633,,,7MA,01-01-2021 06:00,True
18.3,8.0,40.87,1.069,41.94,,,7MA,01-01-2021 07:00,False
23.2,10.0,42.63,1.615,44.245,,,7MA,01-01-2021 08:00,False
24.4,12.0,38.317,12.145,50.463,,,7MA,01-01-2021 09:00,False
15.2,9.0,37.499,10.979,48.478,,,7MA,01-01-2021 10:00,False
13.5,3.0,38.209,5.109,43.318,,,7MA,01-01-2021 11:00,False
12.2,0.0,39.075,3.477,42.551,,,7MA,01-01-2021 12:00,False
20.1,5.0,38.595,1.939,40.534,,,7MA,01-01-2021 13:00,False
13.2,8.0,36.633,2.441,39.074,,,7MA,01-01-2021 14:00,False
20.8,10.0,33.057,2.678,35.735,,,7MA,01-01-2021 15:00,False
15.1,7.0,33.204,2.53,35.733,,,7MA,01-01-2021 16:00,False
19.1,9.0,33.962,2.596,36.558,,,7MA,01-01-2021 17:00,False
14.7,10.0,34.011,1.876,35.888,,,7MA,01-01-2021 18:00,False
22.0,22.0,33.74,0.134,33.875,,,7MA,01-01-2021 19:00,True
,19.0,37.135,1.937,39.072,,,7MA,01-01-2021 20:00,True
28.0,16.0,34.748,0.527,35.274,,,7MA,01-01-2021 21:00,True
17.4,5.0,32.071,1.472,33.543,,,7MA,01-01-2021 22:00,False
21.0,17.0,37.343,2.014,39.357,,,7MA,01-01-2021 23:00,True
12.1,11.0,33.62,0.465,34.086,,,7MA,01-01-2021 24:00,False
23.2,9.0,31.352,2.567,33.917,,,7MA,02-01-2021 01:00,False
16.4,10.0,30.898,1.935,32.834,,,7MA,02-01-2021 02:00,False
18.8,10.0,29.577,0.0,29.513,,,7MA,02-01-2021 03:00,False
9.4,7.0,27.481,2.186,29.667,,,7MA,02-01-2021 04:00,False
25.9,4.0,31.689,3.105,34.794,,,7MA,02-01-2021 05:00,False
27.6,4.0,35.406,3.242,38.648,,,7MA,02-01-2021 06:00,False
30.8,7.0,56.078,2.804,58.883,,,7MA,02-01-2021 07:00,False
46.8,20.0,55.61,4.746,60.356,,,7MA,02-01-2021 08:00,True
43.5,26.0,61.952,4.556,66.507,,,7MA,02-01-2021 09:00,True
47.7,26.0,53.036,14.943,67.979,,,7MA,02-01-2021 10:00,True
,30.0,54.006,7.269,61.275,,,7MA,02-01-2021 11:00,True
22.0,22.0,52.866,6.206,59.072,,,7MA,02-01-2021 12:00,True
15.8,8.0,52.264,6.772,59.036,,,7MA,02-01-2021 13:00,False
28.5,16.0,55.903,5.175,61.078,,,7MA,02-01-2021 14:00,True
25.6,13.0,50.816,3.222,54.038,,,7MA,02-01-2021 15:00,True
20.3,11.0,54.517,2.242,56.759,,,7MA,02-01-2021 16:00,False
15.2,9.0,,,,,,7MA,02-01-2021 17:00,False
19.3,11.0,48.144,2.566,50.711,,,7MA,02-01-2021 18:00,False
20.5,10.0,61.318,1.456,62.774,,,7MA,02-01-2021 19:00,False
24.6,15.0,53.367,0.537,53.904,,,7MA,02-01-2021 20:00,True
22.7,8.0,65.679,1.396,67.075,,,7MA,02-01-2021 21:00,False
31.3,11.0,56.237,0.839,57.076,,,7MA,02-01-2021 22:00,False
14.0,14.0,51.206,2.208,53.415,,,7MA,02-01-2021 23:00,True
22.0,11.0,49.938,0.626,50.564,,,7MA,02-01-2021 24:00,False
11.0,7.0,45.636,2.336,47.97,,,7MA,03-01-2021 01:00,False
17.0,17.0,43.524,3.182,46.706,,,7MA,03-01-2021 02:00,True
19.6,5.0,37.848,2.337,40.185,,,7MA,03-01-2021 03:00,False
13.5,5.0,38.458,4.109,42.567,,,7MA,03-01-2021 04:00,False
15.7,1.0,39.671,3.399,43.07,,,7MA,03-01-2021 05:00,False
14.4,0.0,41.442,3.272,44.714,,,7MA,03-01-2021 06:00,False
19.6,3.0,49.337,2.182,51.519,,,7MA,03-01-2021 07:00,False
26.1,19.0,47.909,3.379,51.288,,,7MA,03-01-2021 08:00,True
25.4,20.0,44.876,10.424,55.3,,,7MA,03-01-2021 09:00,True
18.8,6.0,43.465,7.162,50.627,,,7MA,03-01-2021 10:00,False
